U,I
2.3,0.0105
2.3,0.0105
2.3,0.0105
2.31,0.0105
2.31,0.0105
2.31,0.0105
2.32,0.0105
2.32,0.0105
2.32,0.0105
2.33,0.0106
2.33,0.0106
2.33,0.0106
2.34,0.0106
2.34,0.0106
2.34,0.0106
2.35,0.0107
2.35,0.0107
2.35,0.0107
2.35,0.0107
2.36,0.0107
2.36,0.0107
2.36,0.0107
2.37,0.0108
2.37,0.0108
2.37,0.0108
2.38,0.0108
2.38,0.0108
2.38,0.0108
2.39,0.0109
2.39,0.0109
2.39,0.0109
2.4,0.0109
2.4,0.0109
2.4,0.0109
2.41,0.011
2.41,0.011
2.41,0.011
2.42,0.011
2.42,0.011
2.42,0.011
2.43,0.011
2.43,0.011
2.43,0.011
2.44,0.0111
2.44,0.0111
2.44,0.0111
2.45,0.0111
2.45,0.0111
2.45,0.0111
2.45,0.0111
2.46,0.0112
2.46,0.0112
2.46,0.0112
2.47,0.0112
2.47,0.0112
2.47,0.0112
2.48,0.0113
2.48,0.0113
2.48,0.0113
2.49,0.0113
2.49,0.0113
2.49,0.0113
2.5,0.0114
2.5,0.0114
2.5,0.0114
2.51,0.0114
2.51,0.0114
2.51,0.0114
2.52,0.0115
2.52,0.0115
2.52,0.0115
2.53,0.0115
2.53,0.0115
2.53,0.0115
2.54,0.0115
2.54,0.0115
2.54,0.0115
2.55,0.0116
2.55,0.0116
2.55,0.0116
2.55,0.0116
2.56,0.0116
2.56,0.0116
2.56,0.0116
2.57,0.0117
2.57,0.0117
2.57,0.0117
2.58,0.0117
2.58,0.0117
2.58,0.0117
2.59,0.0118
2.59,0.0118
2.59,0.0118
2.6,0.0118
2.6,0.0118
2.6,0.0118
2.61,0.0119
2.61,0.0119
2.61,0.0119
2.62,0.0119
2.62,0.0119
2.62,0.0119
2.63,0.012
2.63,0.012
2.63,0.012
2.64,0.012
2.64,0.012
2.64,0.012
2.65,0.012
2.65,0.012
2.65,0.012
2.65,0.012
2.66,0.0121
2.66,0.0121
2.66,0.0121
2.67,0.0121
2.67,0.0121
2.67,0.0121
2.68,0.0122
2.68,0.0122
2.68,0.0122
2.69,0.0122
2.69,0.0122
2.69,0.0122
2.7,0.0123
2.7,0.0123
2.7,0.0123
2.71,0.0123
2.71,0.0123
2.71,0.0123
2.72,0.0124
2.72,0.0124
2.72,0.0124
2.73,0.0124
2.73,0.0124
2.73,0.0124
2.74,0.0125
2.74,0.0125
2.74,0.0125
2.75,0.0125
2.75,0.0125
2.75,0.0125
2.75,0.0125
2.76,0.0125
2.76,0.0125
2.76,0.0125
2.77,0.0126
2.77,0.0126
2.77,0.0126
2.78,0.0126
2.78,0.0126
2.78,0.0126
2.79,0.0127
2.79,0.0127
2.79,0.0127
2.8,0.0127
2.8,0.0127
2.8,0.0127
2.81,0.0128
2.81,0.0128
2.81,0.0128
2.82,0.0128
2.82,0.0128
2.82,0.0128
2.83,0.0129
2.83,0.0129
2.83,0.0129
2.84,0.0129
2.84,0.0129
2.84,0.0129
2.85,0.013
2.85,0.013
2.85,0.013
2.85,0.013
2.86,0.013
2.86,0.013
2.86,0.013
2.87,0.013
2.87,0.013
2.87,0.013
2.88,0.0131
2.88,0.0131
2.88,0.0131
2.89,0.0131
2.89,0.0131
2.89,0.0131
2.9,0.0132
2.9,0.0132
2.9,0.0132
2.91,0.0132
2.91,0.0132
2.91,0.0132
2.92,0.0133
2.92,0.0133
2.92,0.0133
2.93,0.0133
2.93,0.0133
2.93,0.0133
2.94,0.0134
2.94,0.0134
2.94,0.0134
2.95,0.0134
2.95,0.0134
2.95,0.0134
2.95,0.0134
2.96,0.0135
2.96,0.0135
2.96,0.0135
2.97,0.0135
2.97,0.0135
2.97,0.0135
2.98,0.0135
2.98,0.0135
2.98,0.0135
2.99,0.0136
2.99,0.0136
